ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
221566_s_at,1.41e-07,2.13e-08,6.04746,8.4214772,0.5025155,NOL3,nucleolar protein 3
202401_s_at,1.41e-07,2.13e-08,-6.047449,8.4214279,-0.4114297,SRF,serum response factor
201016_at,1.42e-07,2.15e-08,6.045257,8.4114703,0.5949856,EIF1AX,"eukaryotic translation initiation factor 1A, X-linked"
219555_s_at,1.42e-07,2.15e-08,6.045091,8.4107178,0.4343344,CENPN,centromere protein N
218070_s_at,1.42e-07,2.15e-08,6.044941,8.4100348,0.4130471,GMPPA,GDP-mannose pyrophosphorylase A
216250_s_at,1.42e-07,2.15e-08,-6.044833,8.4095457,-0.4800309,LPXN,leupaxin
200092_s_at,1.43e-07,2.16e-08,6.043863,8.4051394,0.2778432,RPL37,ribosomal protein L37
205180_s_at,1.43e-07,2.17e-08,6.043412,8.4030936,0.5720594,ADAM8,ADAM metallopeptidase domain 8
206506_s_at,1.43e-07,2.17e-08,6.043247,8.4023436,0.2849178,SUPT3H,"SPT3 homolog, SAGA and STAGA complex component"
211715_s_at,1.44e-07,2.18e-08,6.041832,8.3959158,0.4460393,BDH1,"3-hydroxybutyrate dehydrogenase, type 1"
218875_s_at,1.44e-07,2.18e-08,6.041799,8.3957652,0.4770436,FBXO5,F-box protein 5
204215_at,1.45e-07,2.19e-08,-6.041215,8.3931139,-0.6635583,TMEM243,transmembrane protein 243
205965_at,1.46e-07,2.21e-08,6.039117,8.3835915,0.4705228,BATF,basic leucine zipper ATF-like transcription factor
210216_x_at,1.46e-07,2.22e-08,6.03853,8.3809264,0.3755843,RAD1,RAD1 checkpoint DNA exonuclease
216483_s_at,1.47e-07,2.22e-08,6.037899,8.3780635,0.4613321,MYDGF,myeloid derived growth factor
